Ticker,Year,PE,DE
SAN,2021,6.64,3.18
SAN,2022,5.11,3.66
SAN,2023,5.67,3.55
SAN,2024,5.66,3.64
SAN,2025,10.82,3.4
BBVA,2021,8.13,2.18
BBVA,2022,5.53,2.22
BBVA,2023,6.25,2.58
BBVA,2024,5.64,2.35
BBVA,2025,11.29,2.47
CABK,2021,3.65,1.52
CABK,2022,9.92,1.66
CABK,2023,6.11,1.65
CABK,2024,6.89,1.75
CABK,2025,13.22,1.5
SAB,2021,7.68,2.38
SAB,2022,6.32,2.79
SAB,2023,4.97,3.0
SAB,2024,5.87,2.92
SAB,2025,10.32,2.92
BKT,2021,3.08,1.77
BKT,2022,10.34,1.67
BKT,2023,6.17,3.5
BKT,2024,7.2,3.7
BKT,2025,11.67,3.96
MAP,2021,7.2,0.35
MAP,2022,9.82,0.37
MAP,2023,8.79,0.32
MAP,2024,7.75,0.3
MAP,2025,11.62,0.28
IBE,2020,20.27,0.85
IBE,2021,17.24,0.81
IBE,2022,16.43,0.89
IBE,2023,16.1,0.89
IBE,2024,15.24,0.98
ELE,2021,14.9,1.87
ELE,2022,7.35,3.23
ELE,2023,26.34,1.91
ELE,2024,11.65,1.16
ELE,2025,14.52,1.09
NTGY,2021,22.66,1.9
NTGY,2022,14.17,1.63
NTGY,2023,13.06,1.34
NTGY,2024,11.82,1.55
NTGY,2025,12.31,1.47
REP,2021,6.36,0.65
REP,2022,4.88,0.53
REP,2023,5.53,0.37
REP,2024,8.12,0.42
REP,2025,9.63,0.48
CLNX,2021,-119.02,1.09
CLNX,2022,-106.62,1.33
CLNX,2023,-122.97,1.32
CLNX,2024,305.1,1.27
CLNX,2025,-78.37,2.71
